"table_name","object_type","index_count","trigger_count"
"action_plan_history","table","2","0"
"action_plan_owners","table","3","0"
"action_plans","table","7","4"
"action_plans_fts","table","0","0"
"action_plans_fts_config","table","0","0"
"action_plans_fts_data","table","0","0"
"action_plans_fts_docsize","table","0","0"
"action_plans_fts_idx","table","0","0"
"affiliates","table","2","0"
"ai_invocations","table","3","0"
"ai_providers","table","1","0"
"api_keys","table","2","0"
"audit_areas","table","2","0"
"audit_log","table","6","2"
"audit_log_anchors","table","0","0"
"auditee_responses","table","3","0"
"backup_runs","table","2","0"
"config","table","1","0"
"dashboard_snapshots","table","2","0"
"deletion_queue","table","3","0"
"departments","table","2","0"
"email_templates","table","1","0"
"enum_values","table","1","0"
"export_jobs","table","1","0"
"feature_flags","table","1","0"
"file_attachments","table","3","0"
"files","table","2","0"
"in_app_notifications","table","2","0"
"ip_access_rules","table","0","0"
"job_locks","table","1","0"
"legal_holds","table","1","0"
"login_attempts","table","2","0"
"notification_dead_letter","table","1","0"
"notification_queue","table","6","0"
"organizations","table","2","0"
"password_history","table","2","0"
"password_reset_tokens","table","2","0"
"permission_actions","table","1","0"
"permission_modules","table","1","0"
"rate_limit_buckets","table","1","0"
"reminders","table","2","0"
"restore_runs","table","1","0"
"retention_policies","table","1","0"
"role_permissions","table","1","0"
"roles","table","1","0"
"saved_reports","table","1","0"
"scheduled_jobs","table","1","0"
"schema_migrations","table","1","0"
"security_events","table","3","0"
"sessions","table","6","0"
"status_transitions","table","1","0"
"sub_areas","table","2","0"
"users","table","6","1"
"webhook_endpoints","table","1","0"
"work_paper_cc_recipients","table","1","0"
"work_paper_requirements","table","2","0"
"work_paper_responsibles","table","2","0"
"work_paper_revisions","table","3","0"
"work_papers","table","8","4"
"work_papers_fts","table","0","0"
"work_papers_fts_config","table","0","0"
"work_papers_fts_data","table","0","0"
"work_papers_fts_docsize","table","0","0"
"work_papers_fts_idx","table","0","0"
"v_active_users","view","0","0"
"v_open_action_plans","view","0","0"
"v_overdue_action_plans","view","0","0"
"v_user_findings","view","0","0"
"v_work_papers_pending_response","view","0","0"
