"table_name","fk_id","column_name","references_table","references_column","on_update","on_delete"
"action_plan_history","0","user_id","users","user_id","NO ACTION","NO ACTION"
"action_plan_history","1","action_plan_id","action_plans","action_plan_id","NO ACTION","CASCADE"
"action_plan_owners","0","user_id","users","user_id","NO ACTION","NO ACTION"
"action_plan_owners","1","action_plan_id","action_plans","action_plan_id","NO ACTION","CASCADE"
"action_plans","0","created_by","users","user_id","NO ACTION","NO ACTION"
"action_plans","1","organization_id","affiliates","organization_id","NO ACTION","NO ACTION"
"action_plans","1","affiliate_code","affiliates","affiliate_code","NO ACTION","NO ACTION"
"action_plans","2","audit_area_id","audit_areas","area_id","NO ACTION","NO ACTION"
"action_plans","3","response_id","auditee_responses","response_id","NO ACTION","NO ACTION"
"action_plans","4","work_paper_id","work_papers","work_paper_id","NO ACTION","CASCADE"
"action_plans","5","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
"affiliates","0","organization_id","organizations","organization_id","NO ACTION","CASCADE"
"ai_invocations","0","user_id","users","user_id","NO ACTION","NO ACTION"
"ai_invocations","1","provider_code","ai_providers","provider_code","NO ACTION","NO ACTION"
"api_keys","0","user_id","users","user_id","NO ACTION","NO ACTION"
"api_keys","1","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
"audit_areas","0","organization_id","organizations","organization_id","NO ACTION","CASCADE"
"audit_log","0","actor_user_id","users","user_id","NO ACTION","NO ACTION"
"auditee_responses","0","reviewed_by_id","users","user_id","NO ACTION","NO ACTION"
"auditee_responses","1","submitted_by_id","users","user_id","NO ACTION","NO ACTION"
"auditee_responses","2","work_paper_id","work_papers","work_paper_id","NO ACTION","CASCADE"
"backup_runs","0","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
"departments","0","parent_department","departments","department_id","NO ACTION","NO ACTION"
"departments","1","organization_id","organizations","organization_id","NO ACTION","CASCADE"
"export_jobs","0","file_id","files","file_id","NO ACTION","NO ACTION"
"file_attachments","0","file_id","files","file_id","NO ACTION","CASCADE"
"files","0","uploaded_by","users","user_id","NO ACTION","NO ACTION"
"files","1","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
"in_app_notifications","0","user_id","users","user_id","NO ACTION","CASCADE"
"notification_queue","0","template_code","email_templates","template_code","NO ACTION","NO ACTION"
"notification_queue","1","recipient_user_id","users","user_id","NO ACTION","NO ACTION"
"notification_queue","2","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
"password_history","0","user_id","users","user_id","NO ACTION","CASCADE"
"password_reset_tokens","0","user_id","users","user_id","NO ACTION","CASCADE"
"reminders","0","target_user_id","users","user_id","NO ACTION","NO ACTION"
"restore_runs","0","backup_id","backup_runs","backup_id","NO ACTION","NO ACTION"
"role_permissions","0","action_code","permission_actions","action_code","NO ACTION","CASCADE"
"role_permissions","1","module_code","permission_modules","module_code","NO ACTION","CASCADE"
"role_permissions","2","role_code","roles","role_code","NO ACTION","CASCADE"
"saved_reports","0","owner_user_id","users","user_id","NO ACTION","NO ACTION"
"saved_reports","1","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
"sessions","0","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
"sessions","1","user_id","users","user_id","NO ACTION","CASCADE"
"status_transitions","0","enum_type","enum_values","enum_type","NO ACTION","NO ACTION"
"status_transitions","0","to_status","enum_values","enum_value","NO ACTION","NO ACTION"
"status_transitions","1","enum_type","enum_values","enum_type","NO ACTION","NO ACTION"
"status_transitions","1","from_status","enum_values","enum_value","NO ACTION","NO ACTION"
"sub_areas","0","area_id","audit_areas","area_id","NO ACTION","NO ACTION"
"sub_areas","1","organization_id","organizations","organization_id","NO ACTION","CASCADE"
"users","0","organization_id","affiliates","organization_id","NO ACTION","NO ACTION"
"users","0","affiliate_code","affiliates","affiliate_code","NO ACTION","NO ACTION"
"users","1","department_id","departments","department_id","NO ACTION","NO ACTION"
"users","2","role_code","roles","role_code","NO ACTION","NO ACTION"
"users","3","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
"webhook_endpoints","0","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
"work_paper_cc_recipients","0","work_paper_id","work_papers","work_paper_id","NO ACTION","CASCADE"
"work_paper_requirements","0","work_paper_id","work_papers","work_paper_id","NO ACTION","CASCADE"
"work_paper_responsibles","0","user_id","users","user_id","NO ACTION","NO ACTION"
"work_paper_responsibles","1","work_paper_id","work_papers","work_paper_id","NO ACTION","CASCADE"
"work_paper_revisions","0","user_id","users","user_id","NO ACTION","NO ACTION"
"work_paper_revisions","1","work_paper_id","work_papers","work_paper_id","NO ACTION","CASCADE"
"work_papers","0","assigned_auditor_id","users","user_id","NO ACTION","NO ACTION"
"work_papers","1","prepared_by_id","users","user_id","NO ACTION","NO ACTION"
"work_papers","2","sub_area_id","sub_areas","sub_area_id","NO ACTION","NO ACTION"
"work_papers","3","audit_area_id","audit_areas","area_id","NO ACTION","NO ACTION"
"work_papers","4","organization_id","affiliates","organization_id","NO ACTION","NO ACTION"
"work_papers","4","affiliate_code","affiliates","affiliate_code","NO ACTION","NO ACTION"
"work_papers","5","organization_id","organizations","organization_id","NO ACTION","NO ACTION"
