"table_name","row_count"
"enum_values","49"
"config","21"
"sub_areas","18"
"sessions","16"
"affiliates","10"
"roles","10"
"permission_modules","10"
"audit_areas","10"
"permission_actions","7"
"login_attempts","7"
"retention_policies","6"
"work_papers","3"
"users","2"
"organizations","1"
"schema_migrations","1"
"departments","0"
"role_permissions","0"
"password_history","0"
"status_transitions","0"
"work_paper_responsibles","0"
"work_paper_cc_recipients","0"
"work_paper_requirements","0"
"work_paper_revisions","0"
"auditee_responses","0"
"action_plans","0"
"action_plan_owners","0"
"action_plan_history","0"
"files","0"
"file_attachments","0"
"email_templates","0"
"notification_queue","0"
"audit_log","0"
"feature_flags","0"
"ai_invocations","0"
"scheduled_jobs","0"
"reminders","0"
"backup_runs","0"
