"table_name","column_order","column_name","data_type","not_null","default_value","primary_key"
"action_plan_history","0","history_id","TEXT","0",,"1"
"action_plan_history","1","action_plan_id","TEXT","1",,"0"
"action_plan_history","2","event_type","TEXT","1","'STATUS_CHANGE'","0"
"action_plan_history","3","previous_status","TEXT","0",,"0"
"action_plan_history","4","new_status","TEXT","0",,"0"
"action_plan_history","5","comments","TEXT","0",,"0"
"action_plan_history","6","metadata","TEXT","0",,"0"
"action_plan_history","7","user_id","TEXT","1",,"0"
"action_plan_history","8","user_name","TEXT","0",,"0"
"action_plan_history","9","changed_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"action_plan_owners","0","action_plan_id","TEXT","1",,"1"
"action_plan_owners","1","user_id","TEXT","1",,"2"
"action_plan_owners","2","is_original","INTEGER","1","1","0"
"action_plan_owners","3","is_current","INTEGER","1","1","0"
"action_plan_owners","4","added_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","3"
"action_plan_owners","5","added_by","TEXT","0",,"0"
"action_plan_owners","6","removed_at","TEXT","0",,"0"
"action_plan_owners","7","removed_by","TEXT","0",,"0"
"action_plans","0","action_plan_id","TEXT","0",,"1"
"action_plans","1","organization_id","TEXT","1",,"0"
"action_plans","2","work_paper_id","TEXT","1",,"0"
"action_plans","3","response_id","TEXT","0",,"0"
"action_plans","4","action_number","INTEGER","0",,"0"
"action_plans","5","action_description","TEXT","1",,"0"
"action_plans","6","affiliate_code","TEXT","0",,"0"
"action_plans","7","audit_area_id","TEXT","0",,"0"
"action_plans","8","year","INTEGER","0",,"0"
"action_plans","9","due_date","TEXT","1",,"0"
"action_plans","10","days_overdue","INTEGER","1","0","0"
"action_plans","11","status","TEXT","1",,"0"
"action_plans","12","final_status","TEXT","0",,"0"
"action_plans","13","implementation_notes","TEXT","0",,"0"
"action_plans","14","implemented_date","TEXT","0",,"0"
"action_plans","15","implemented_by","TEXT","0",,"0"
"action_plans","16","auditor_review_status","TEXT","0",,"0"
"action_plans","17","auditor_review_by","TEXT","0",,"0"
"action_plans","18","auditor_review_date","TEXT","0",,"0"
"action_plans","19","auditor_review_comments","TEXT","0",,"0"
"action_plans","20","verified_date","TEXT","0",,"0"
"action_plans","21","verified_by","TEXT","0",,"0"
"action_plans","22","hoa_review_status","TEXT","0",,"0"
"action_plans","23","hoa_review_by","TEXT","0",,"0"
"action_plans","24","hoa_review_date","TEXT","0",,"0"
"action_plans","25","hoa_review_comments","TEXT","0",,"0"
"action_plans","26","delegated_by_id","TEXT","0",,"0"
"action_plans","27","delegated_by_name","TEXT","0",,"0"
"action_plans","28","delegated_date","TEXT","0",,"0"
"action_plans","29","delegation_notes","TEXT","0",,"0"
"action_plans","30","delegation_accepted","INTEGER","0",,"0"
"action_plans","31","delegation_accepted_date","TEXT","0",,"0"
"action_plans","32","delegation_rejected","INTEGER","0",,"0"
"action_plans","33","delegation_reject_reason","TEXT","0",,"0"
"action_plans","34","delegation_rejected_by","TEXT","0",,"0"
"action_plans","35","delegation_rejected_date","TEXT","0",,"0"
"action_plans","36","auditee_proposed","INTEGER","1","0","0"
"action_plans","37","created_by_role","TEXT","0",,"0"
"action_plans","38","row_version","INTEGER","1","1","0"
"action_plans","39","created_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"action_plans","40","created_by","TEXT","1",,"0"
"action_plans","41","updated_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"action_plans","42","updated_by","TEXT","0",,"0"
"action_plans","43","deleted_at","TEXT","0",,"0"
"action_plans","44","deleted_by","TEXT","0",,"0"
"action_plans_fts","0","action_plan_id","","0",,"0"
"action_plans_fts","1","action_description","","0",,"0"
"action_plans_fts","2","implementation_notes","","0",,"0"
"action_plans_fts_config","0","k","","1",,"1"
"action_plans_fts_config","1","v","","0",,"0"
"action_plans_fts_data","0","id","INTEGER","0",,"1"
"action_plans_fts_data","1","block","BLOB","0",,"0"
"action_plans_fts_docsize","0","id","INTEGER","0",,"1"
"action_plans_fts_docsize","1","sz","BLOB","0",,"0"
"action_plans_fts_idx","0","segid","","1",,"1"
"action_plans_fts_idx","1","term","","1",,"2"
"action_plans_fts_idx","2","pgno","","0",,"0"
"affiliates","0","affiliate_code","TEXT","1",,"2"
"affiliates","1","organization_id","TEXT","1",,"1"
"affiliates","2","affiliate_name","TEXT","1",,"0"
"affiliates","3","country","TEXT","0",,"0"
"affiliates","4","region","TEXT","0",,"0"
"affiliates","5","is_active","INTEGER","1","1","0"
"affiliates","6","display_order","INTEGER","1","0","0"
"affiliates","7","created_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"affiliates","8","updated_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"affiliates","9","deleted_at","TEXT","0",,"0"
"ai_invocations","0","invocation_id","TEXT","0",,"1"
"ai_invocations","1","organization_id","TEXT","1",,"0"
"ai_invocations","2","user_id","TEXT","0",,"0"
"ai_invocations","3","provider_code","TEXT","1",,"0"
"ai_invocations","4","model","TEXT","0",,"0"
"ai_invocations","5","purpose","TEXT","0",,"0"
"ai_invocations","6","related_entity_type","TEXT","0",,"0"
"ai_invocations","7","related_entity_id","TEXT","0",,"0"
"ai_invocations","8","prompt_tokens","INTEGER","0",,"0"
"ai_invocations","9","completion_tokens","INTEGER","0",,"0"
"ai_invocations","10","total_tokens","INTEGER","0",,"0"
"ai_invocations","11","cost_usd","REAL","0",,"0"
"ai_invocations","12","latency_ms","INTEGER","0",,"0"
"ai_invocations","13","success","INTEGER","1","1","0"
"ai_invocations","14","error_message","TEXT","0",,"0"
"ai_invocations","15","request_payload","TEXT","0",,"0"
"ai_invocations","16","response_payload","TEXT","0",,"0"
"ai_invocations","17","occurred_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"ai_invocations","18","invoker_role","TEXT","0",,"0"
"ai_invocations","19","auto_action_taken","TEXT","0",,"0"
"ai_invocations","20","auto_action_entity_id","TEXT","0",,"0"
"ai_providers","0","provider_code","TEXT","0",,"1"
"ai_providers","1","display_name","TEXT","1",,"0"
"ai_providers","2","api_key_secret_ref","TEXT","0",,"0"
"ai_providers","3","default_model","TEXT","0",,"0"
"ai_providers","4","is_enabled","INTEGER","1","0","0"
"ai_providers","5","cost_per_1k_input","REAL","0",,"0"
"ai_providers","6","cost_per_1k_output","REAL","0",,"0"
"ai_providers","7","updated_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"api_keys","0","api_key_id","TEXT","0",,"1"
"api_keys","1","organization_id","TEXT","1",,"0"
"api_keys","2","user_id","TEXT","0",,"0"
"api_keys","3","name","TEXT","1",,"0"
"api_keys","4","key_hash","TEXT","1",,"0"
"api_keys","5","key_prefix","TEXT","1",,"0"
"api_keys","6","scopes","TEXT","0",,"0"
"api_keys","7","expires_at","TEXT","0",,"0"
"api_keys","8","last_used_at","TEXT","0",,"0"
"api_keys","9","last_used_ip","TEXT","0",,"0"
"api_keys","10","is_active","INTEGER","1","1","0"
"api_keys","11","revoked_at","TEXT","0",,"0"
"api_keys","12","revoked_by","TEXT","0",,"0"
"api_keys","13","created_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"api_keys","14","created_by","TEXT","1",,"0"
"audit_areas","0","area_id","TEXT","0",,"1"
"audit_areas","1","organization_id","TEXT","1",,"0"
"audit_areas","2","area_code","TEXT","1",,"0"
"audit_areas","3","area_name","TEXT","1",,"0"
"audit_areas","4","description","TEXT","0",,"0"
"audit_areas","5","is_active","INTEGER","1","1","0"
"audit_areas","6","display_order","INTEGER","1","0","0"
"audit_areas","7","created_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"audit_areas","8","updated_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"audit_areas","9","deleted_at","TEXT","0",,"0"
"audit_log","0","log_id","TEXT","0",,"1"
"audit_log","1","organization_id","TEXT","0",,"0"
"audit_log","2","occurred_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"audit_log","3","actor_user_id","TEXT","0",,"0"
"audit_log","4","actor_email","TEXT","0",,"0"
"audit_log","5","actor_role","TEXT","0",,"0"
"audit_log","6","actor_ip","TEXT","0",,"0"
"audit_log","7","actor_user_agent","TEXT","0",,"0"
"audit_log","8","session_id","TEXT","0",,"0"
"audit_log","9","api_key_id","TEXT","0",,"0"
"audit_log","10","action","TEXT","1",,"0"
"audit_log","11","entity_type","TEXT","1",,"0"
"audit_log","12","entity_id","TEXT","0",,"0"
"audit_log","13","old_data","TEXT","0",,"0"
"audit_log","14","new_data","TEXT","0",,"0"
"audit_log","15","diff","TEXT","0",,"0"
"audit_log","16","severity","TEXT","1","'info'","0"
"audit_log","17","success","INTEGER","1","1","0"
"audit_log","18","error_message","TEXT","0",,"0"
"audit_log","19","correlation_id","TEXT","0",,"0"
"audit_log","20","prev_hash","TEXT","0",,"0"
"audit_log","21","row_hash","TEXT","1",,"0"
"audit_log_anchors","0","anchor_id","INTEGER","0",,"1"
"audit_log_anchors","1","last_log_id","TEXT","1",,"0"
"audit_log_anchors","2","log_count","INTEGER","1",,"0"
"audit_log_anchors","3","cumulative_hash","TEXT","1",,"0"
"audit_log_anchors","4","anchored_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"audit_log_anchors","5","external_proof","TEXT","0",,"0"
"auditee_responses","0","response_id","TEXT","0",,"1"
"auditee_responses","1","work_paper_id","TEXT","1",,"0"
"auditee_responses","2","round_number","INTEGER","1",,"0"
"auditee_responses","3","response_type","TEXT","0",,"0"
"auditee_responses","4","management_response","TEXT","0",,"0"
"auditee_responses","5","status","TEXT","1",,"0"
"auditee_responses","6","submitted_by_id","TEXT","0",,"0"
"auditee_responses","7","submitted_by_name","TEXT","0",,"0"
"auditee_responses","8","submitted_date","TEXT","0",,"0"
"auditee_responses","9","reviewed_by_id","TEXT","0",,"0"
"auditee_responses","10","reviewed_by_name","TEXT","0",,"0"
"auditee_responses","11","review_date","TEXT","0",,"0"
"auditee_responses","12","review_comments","TEXT","0",,"0"
"auditee_responses","13","review_action","TEXT","0",,"0"
"auditee_responses","14","created_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"auditee_responses","15","updated_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"backup_runs","0","backup_id","TEXT","0",,"1"
"backup_runs","1","backup_type","TEXT","1",,"0"
"backup_runs","2","organization_id","TEXT","0",,"0"
"backup_runs","3","started_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"backup_runs","4","completed_at","TEXT","0",,"0"
"backup_runs","5","status","TEXT","1","'running'","0"
"backup_runs","6","storage_location","TEXT","0",,"0"
"backup_runs","7","size_bytes","INTEGER","0",,"0"
"backup_runs","8","checksum_sha256","TEXT","0",,"0"
"backup_runs","9","encryption_key_ref","TEXT","0",,"0"
"backup_runs","10","row_counts","TEXT","0",,"0"
"backup_runs","11","error_message","TEXT","0",,"0"
"backup_runs","12","triggered_by","TEXT","0",,"0"
"backup_runs","13","retention_until","TEXT","0",,"0"
"config","0","config_key","TEXT","1",,"2"
"config","1","organization_id","TEXT","1","'GLOBAL'","1"
"config","2","config_value","TEXT","0",,"0"
"config","3","value_type","TEXT","1","'string'","0"
"config","4","is_secret","INTEGER","1","0","0"
"config","5","description","TEXT","0",,"0"
"config","6","updated_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"config","7","updated_by","TEXT","0",,"0"
"dashboard_snapshots","0","snapshot_id","TEXT","0",,"1"
"dashboard_snapshots","1","organization_id","TEXT","1",,"0"
"dashboard_snapshots","2","snapshot_type","TEXT","1",,"0"
"dashboard_snapshots","3","snapshot_date","TEXT","1",,"0"
"dashboard_snapshots","4","metrics","TEXT","1",,"0"
"dashboard_snapshots","5","generated_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"deletion_queue","0","queue_id","TEXT","0",,"1"
"deletion_queue","1","entity_type","TEXT","1",,"0"
"deletion_queue","2","entity_id","TEXT","1",,"0"
"deletion_queue","3","soft_deleted_at","TEXT","1",,"0"
"deletion_queue","4","hard_delete_after","TEXT","1",,"0"
"deletion_queue","5","reason","TEXT","0",,"0"
"deletion_queue","6","requested_by","TEXT","0",,"0"
"deletion_queue","7","processed_at","TEXT","0",,"0"
"departments","0","department_id","TEXT","0",,"1"
"departments","1","organization_id","TEXT","1",,"0"
"departments","2","affiliate_code","TEXT","0",,"0"
"departments","3","department_code","TEXT","1",,"0"
"departments","4","department_name","TEXT","1",,"0"
"departments","5","parent_department","TEXT","0",,"0"
"departments","6","is_active","INTEGER","1","1","0"
"departments","7","created_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"departments","8","updated_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"departments","9","deleted_at","TEXT","0",,"0"
"email_templates","0","template_code","TEXT","0",,"1"
"email_templates","1","organization_id","TEXT","0",,"0"
"email_templates","2","template_name","TEXT","1",,"0"
"email_templates","3","subject_template","TEXT","1",,"0"
"email_templates","4","body_template","TEXT","1",,"0"
"email_templates","5","body_template_text","TEXT","0",,"0"
"email_templates","6","locale","TEXT","1","'en'","0"
"email_templates","7","is_active","INTEGER","1","1","0"
"email_templates","8","version","INTEGER","1","1","0"
"email_templates","9","created_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"email_templates","10","updated_at","TEXT","1","strftime('%Y-%m-%dT%H:%M:%fZ','now')","0"
"email_templates","11","updated_by","TEXT","0",,"0"
"enum_values","0","enum_type","TEXT","1",,"1"
"enum_values","1","enum_value","TEXT","1",,"2"
"enum_values","2","display_label","TEXT","1",,"0"
"enum_values","3","display_order","INTEGER","1","0","0"
"enum_values","4","color_hex","TEXT","0",,"0"
"enum_values","5","is_terminal","INTEGER","1","0","0"
"enum_values","6","is_active","INTEGER","1","1","0"
"enum_values","7","metadata","TEXT","0",,"0"
"export_jobs","0","export_id","TEXT","0",,"1"
