"table_name","index_name","is_unique","column_order","indexed_column"
"action_plan_history","idx_ap_hist","0","0","action_plan_id"
"action_plan_history","idx_ap_hist","0","1","changed_at"
"action_plan_owners","idx_ap_own_current","0","0","action_plan_id"
"action_plan_owners","idx_ap_own_user","0","0","user_id"
"action_plans","idx_ap_affiliate","0","0","organization_id"
"action_plans","idx_ap_affiliate","0","1","affiliate_code"
"action_plans","idx_ap_area","0","0","audit_area_id"
"action_plans","idx_ap_created_by","0","0","created_by"
"action_plans","idx_ap_due","0","0","due_date"
"action_plans","idx_ap_status","0","0","organization_id"
"action_plans","idx_ap_status","0","1","status"
"action_plans","idx_ap_wp","0","0","work_paper_id"
"affiliates","idx_affiliates_active","0","0","organization_id"
"affiliates","idx_affiliates_active","0","1","is_active"
"ai_invocations","idx_ai_inv_org","0","0","organization_id"
"ai_invocations","idx_ai_inv_org","0","1","occurred_at"
"ai_invocations","idx_ai_inv_user","0","0","user_id"
"ai_invocations","idx_ai_inv_user","0","1","occurred_at"
"audit_log","idx_audit_actor","0","0","actor_user_id"
"audit_log","idx_audit_actor","0","1","occurred_at"
"audit_log","idx_audit_entity","0","0","entity_type"
"audit_log","idx_audit_entity","0","1","entity_id"
"audit_log","idx_audit_entity","0","2","occurred_at"
"audit_log","idx_audit_org_time","0","0","organization_id"
"audit_log","idx_audit_org_time","0","1","occurred_at"
"audit_log","idx_audit_severity","0","0","severity"
"audit_log","idx_audit_severity","0","1","occurred_at"
"audit_log","idx_audit_time","0","0","occurred_at"
"auditee_responses","idx_response_wp","0","0","work_paper_id"
"backup_runs","idx_backup_status","0","0","status"
"backup_runs","idx_backup_status","0","1","started_at"
"deletion_queue","idx_del_q_due","0","0","hard_delete_after"
"file_attachments","idx_attach_entity","0","0","entity_type"
"file_attachments","idx_attach_entity","0","1","entity_id"
"file_attachments","idx_attach_file","0","0","file_id"
"files","uq_files_storage","1","0","storage_provider"
"files","uq_files_storage","1","1","storage_id"
"in_app_notifications","idx_inapp_user_unread","0","0","user_id"
"in_app_notifications","idx_inapp_user_unread","0","1","created_at"
"login_attempts","idx_login_attempts_email","0","0","email"
"login_attempts","idx_login_attempts_email","0","1","attempted_at"
"login_attempts","idx_login_attempts_ip","0","0","ip_address"
"login_attempts","idx_login_attempts_ip","0","1","attempted_at"
"notification_queue","idx_notif_status","0","0","status"
"notification_queue","idx_notif_type_created","0","0","batch_type"
"notification_queue","idx_notif_type_created","0","1","created_at"
"notification_queue","idx_nq_entity","0","0","related_entity_type"
"notification_queue","idx_nq_entity","0","1","related_entity_id"
"notification_queue","idx_nq_recipient","0","0","recipient_user_id"
"notification_queue","idx_nq_recipient","0","1","created_at"
"notification_queue","idx_nq_status_prio","0","0","status"
"notification_queue","idx_nq_status_prio","0","1","priority"
"notification_queue","idx_nq_status_prio","0","2","scheduled_for"
"password_history","idx_password_history_user","0","0","user_id"
"password_history","idx_password_history_user","0","1","changed_at"
"reminders","idx_rem_due","0","0","scheduled_for"
"security_events","idx_sec_evt_type","0","0","event_type"
"security_events","idx_sec_evt_type","0","1","occurred_at"
"security_events","idx_sec_evt_user","0","0","user_id"
"security_events","idx_sec_evt_user","0","1","occurred_at"
"sessions","idx_sessions_expiry","0","0","expires_at"
"sessions","idx_sessions_token","0","0","session_token_hash"
"sessions","idx_sessions_user_active","0","0","user_id"
"sub_areas","idx_sub_areas_area","0","0","area_id"
"users","idx_users_affiliate","0","0","organization_id"
"users","idx_users_affiliate","0","1","affiliate_code"
"users","idx_users_department","0","0","organization_id"
"users","idx_users_department","0","1","department_id"
"users","idx_users_email","0","0","email"
"users","idx_users_role","0","0","organization_id"
"users","idx_users_role","0","1","role_code"
"users","uq_users_email_org","1","0","organization_id"
"users","uq_users_email_org","1","1","email"
"work_paper_requirements","idx_req_wp","0","0","work_paper_id"
"work_paper_responsibles","idx_wp_resp_user","0","0","user_id"
"work_paper_revisions","idx_wp_rev_wp","0","0","work_paper_id"
"work_paper_revisions","idx_wp_rev_wp","0","1","action_date"
"work_papers","idx_wp_affiliate","0","0","organization_id"
"work_papers","idx_wp_affiliate","0","1","affiliate_code"
"work_papers","idx_wp_area","0","0","audit_area_id"
"work_papers","idx_wp_assigned","0","0","assigned_auditor_id"
"work_papers","idx_wp_prepared_by","0","0","prepared_by_id"
"work_papers","idx_wp_response_state","0","0","response_status"
"work_papers","idx_wp_response_state","0","1","response_deadline"
"work_papers","idx_wp_status","0","0","organization_id"
"work_papers","idx_wp_status","0","1","status"
"work_papers","idx_wp_year","0","0","organization_id"
"work_papers","idx_wp_year","0","1","year"
